name,reason,band
AT2024agqx,Faint galaxy,g
AT2024doo,No image,r/g
AT2024eqp,Faint galaxy,g
AT2024gre,Faint galaxy,g
AT2024gxr,Unreliable fit,r/g
AT2024kt,Faint galaxy,g
AT2024tvd,Unreliable fit,r
AT2024yqo,Unreliable fit,r
AT2024zau,Faint galaxy,g
AT2023clx,Unreliable fit,r/g
AT2023mhs,Unreliable fit,r
AT2023rvb,Unreliable fit,r
AT2023vto,Faint galaxy,r/g
AT2022bdw,Unreliable fit,r
AT2022bdw,Different frames image,g
AT2022cmc,Faint galaxy,r/g
AT2022dyt,Unreliable fit,r/g
AT2022ibq,Faint galaxy,r/g
AT2022wtn,Nearby massive galaxy,r/g
AT2021blz,No image,r/g
AT2021lo,Faint galaxy,g
AT2021uvz,Faint galaxy,g
AT2021yzv,Faint galaxy,g
AT2020acka,Faint galaxy,g
AT2020riz,Faint galaxy,r/g
AT2020ysg,Faint galaxy,g
AT2019ahk,No image,r/g
AT2019azh,Different frames image,r/g
AT2019meg,Faint galaxy,g
AT2019qiz,Unreliable fit,r/g
AT2018dyb,No image,r/g
AT2018fyk,No image,r/g
AT2018jbv,Faint galaxy,r/g
AT2018lna,Faint galaxy,g
AT2018lni,Faint galaxy,g
AT2016fnl,Unreliable fit,r
Swift-J2058+08,Faint galaxy,r/g
Swift-J1644+57,Faint galaxy,r/g
PS1-10jh,Faint galaxy,g
