Galaxy Name,Fit Model,Re,Rs,i_bulge,i_disk,q_bulge,q_disk,z,Magnitude,n,Class
AT2016fnl,Sersic+exp+ps,22.18±0.45,16.91±0.07,70.1,83.7,0.34±0.00,0.11±0.00,0.1633,14.89±0.01,4.70±0.13,H+He
AT2017eqx,Sersic,2.30±0.18,--,56.6,--,0.55±0.07,--,0.1089,20.28±0.02,1.02±0.48,He
AT2018zr,Sersic,6.62±0.20,--,45.6,--,0.70±0.02,--,0.071,18.14±0.02,1.69±0.07,H
AT2018bsi,Sersic+exp,4.96±0.08,15.65±0.21,42.3,43.9,0.74±0.01,0.72±0.00,0.051,15.61±0.02,1.06±0.02,H+He
AT2018hco,Sersic,3.45±0.11,--,21.6,--,0.93±0.03,--,0.09,18.79±0.02,2.07±0.17,H
AT2018mli,Sersic+exp,1.21±0.04,5.75±0.17,45.6,18.2,0.70±0.04,0.95±0.02,0.076,17.78±0.03,1.20±0.34,H+He
AT2018hyz,Sersic+exp,0.76±0.09,3.40±0.02,84.8,34.9,0.09±0.12,0.82±0.01,0.04573,17.02±0.06,4.72±0.96,H+He
AT2018iih,Sersic,3.13±0.16,--,70.7,--,0.33±0.04,--,0.212,19.55±0.02,1.99±0.42,He
AT2019vcb,Sersic,2.02±0.06,--,19.9,--,0.94±0.03,--,0.089,18.43±0.01,3.28±0.29,H+He
AT2019dsg,Sersic+exp,6.42±0.52,11.65±0.31,55.2,14.1,0.57±0.01,0.97±0.03,0.0512,16.35±0.10,3.62±0.19,H+He
AT2019bhf,Sersic,5.61±0.15,--,25.8,--,0.90±0.02,--,0.1206,18.31±0.02,1.84±0.07,H+He
AT2019ehz,Sersic,6.01±0.37,--,63.3,--,0.45±0.02,--,0.074,18.58±0.03,3.45±0.32,H
AT2019gte,Sersic+exp,5.08±0.25,12.54±0.07,37.8,82.5,0.79±0.01,0.13±0.00,0.086,16.37±0.02,5.78±0.26,He
AT2019lwu,Sersic,2.33±0.16,--,24.5,--,0.91±0.06,--,0.117,19.66±0.03,2.61±0.56,H
AT2019teq,Sersic,7.84±0.07,--,60.0,--,0.50±0.00,--,0.0878,17.99±0.01,0.78±0.02,H+He
AT2020ddv,Sersic,3.66±0.38,--,53.8,--,0.59±0.08,--,0.16,19.57±0.08,2.81±0.96,He
AT2020mot,Sersic,3.72±0.11,--,30.7,--,0.86±0.02,--,0.07,17.29±0.02,3.62±0.26,H+He
AT2020mbq,Sersic,4.87±1.10,--,36.9,--,0.80±0.07,--,0.093,19.49±0.10,5.98±1.30,H
AT2020afhd,Sersic+exp,3.63±0.96,11.32±0.08,14.1,35.9,0.97±0.03,0.81±0.01,0.027,15.50±0.14,5.89±1.08,H+He
AT2020pj,Sersic,5.25±0.21,--,45.6,--,0.70±0.02,--,0.068,17.88±0.02,3.49±0.21,H+He
