Galaxy Name,Fit Model,Re,Rs,i_bulge,i_disk,q_bulge,q_disk,z,Magnitude,n,Class
AT2024zau,Sersic,3.71±0.31,--,34.9,--,0.82±0.07,--,0.0815,19.83±0.06,1.55±0.31,H+He
AT2024wsd,Sersic,6.89±0.35,--,50.9,--,0.63±0.02,--,0.063,18.04±0.03,3.02±0.16,H+He
AT2024vip,Sersic,5.28±0.10,--,69.5,--,0.35±0.01,--,0.089,17.20±0.01,3.24±0.09,H+He
AT2024ule,Sersic,6.83±0.23,--,38.7,--,0.78±0.02,--,0.112,18.19±0.02,1.80±0.08,H+He
AT2024rny,Sersic,2.29±0.11,--,63.3,--,0.45±0.04,--,0.1055,18.84±0.02,2.29±0.41,H+He
AT2024qab,Sersic,3.01±0.06,--,73.7,--,0.28±0.02,--,0.1398,18.70±0.01,2.57±0.19,H+He
AT2024pvu,Sersic,9.50±0.11,--,57.3,--,0.54±0.00,--,0.048,15.52±0.01,5.56±0.05,--
AT2024mvz,Sersic,2.84±0.06,--,16.3,--,0.96±0.02,--,0.08,18.25±0.01,3.25±0.19,H+He
AT2024kt,Sersic,1.45±0.13,--,37.8,--,0.79±0.10,--,0.11,20.01±0.02,1.41±0.65,H
AT2024gre,Sersic,3.21±0.16,--,67.0,--,0.39±0.03,--,0.12,18.70±0.03,3.95±0.57,--
AT2024as,Sersic,2.31±0.05,--,21.6,--,0.93±0.02,--,0.13,17.65±0.01,5.77±0.30,H
AT2024agqx,Sersic,1.58±0.12,--,55.9,--,0.56±0.06,--,0.194,19.51±0.03,2.59±0.74,He
AT2024admt,Sersic,4.28±0.24,--,18.2,--,0.95±0.02,--,0.1105,18.56±0.03,4.17±0.30,He
AT2023wdb,Sersic+exp,2.65±0.05,8.75±0.23,57.3,43.1,0.54±0.01,0.73±0.01,0.06,17.06±0.03,1.18±0.09,H+He
AT2023ugy,Sersic,2.04±0.02,--,29.5,--,0.87±0.01,--,0.106,17.36±0.00,2.38±0.06,H
AT2023tmq,Sersic,5.01±0.05,--,50.9,--,0.63±0.01,--,0.077,16.94±0.01,2.54±0.05,H+He
AT2023mfm,Sersic,13.33±0.21,--,48.7,--,0.66±0.00,--,0.087,16.09±0.01,4.30±0.05,H
